date,open,high,low,close,volume,name
19-Dec-16,115.8,117.38,115.75,116.64,27779423,AAPL
16-Dec-16,116.47,116.5,115.64,115.97,44351134,AAPL
15-Dec-16,115.38,116.73,115.23,115.82,46524544,AAPL
14-Dec-16,115.04,116.2,114.98,115.19,34031834,AAPL
13-Dec-16,113.84,115.92,113.75,115.19,43733811,AAPL
12-Dec-16,113.29,115,112.49,113.3,26374377,AAPL
9-Dec-16,112.31,114.7,112.31,113.95,34402627,AAPL
8-Dec-16,110.86,112.43,110.6,112.12,27068316,AAPL
7-Dec-16,109.26,111.19,109.16,111.03,29998719,AAPL
6-Dec-16,109.5,110.36,109.19,109.95,26195462,AAPL
5-Dec-16,110,110.03,108.25,109.11,34324540,AAPL
2-Dec-16,109.17,110.09,108.85,109.9,26527997,AAPL
1-Dec-16,110.36,110.94,109.03,109.49,37086862,AAPL
30-Nov-16,111.6,112.2,110.27,110.52,36162258,AAPL
29-Nov-16,110.78,112.03,110.07,111.46,28528750,AAPL
28-Nov-16,111.43,112.46,111.39,111.57,27193983,AAPL
25-Nov-16,111.47,111.87,110.95,111.79,11475922,AAPL
23-Nov-16,111.36,111.51,110.33,111.23,27426394,AAPL
22-Nov-16,111.95,112.42,111.4,111.8,25965534,AAPL
21-Nov-16,110.12,111.99,110.01,111.73,29264571,AAPL
18-Nov-16,109.72,110.54,109.66,110.06,28428917,AAPL
17-Nov-16,109.81,110.35,108.83,109.95,26964598,AAPL
16-Nov-16,106.7,110.23,106.6,109.99,58840522,AAPL
15-Nov-16,106.57,107.68,106.16,107.11,32264510,AAPL
26-Jan-17,30.76,30.84,30.56,30.74,20116824,CSCO
25-Jan-17,31.04,31.05,30.65,30.7,25095890,CSCO
24-Jan-17,30.34,30.75,30.29,30.6,24934210,CSCO
23-Jan-17,30.14,30.3,30.08,30.27,17155297,CSCO
20-Jan-17,30.12,30.25,30,30.1,22754366,CSCO
19-Jan-17,30.01,30.19,29.92,29.98,16866005,CSCO
18-Jan-17,30.12,30.18,29.95,30.03,15724040,CSCO
17-Jan-17,30,30.25,29.84,29.99,21983537,CSCO
13-Jan-17,30.1,30.22,30.01,30.07,17136585,CSCO
12-Jan-17,30.15,30.16,29.8,30.04,18611107,CSCO
11-Jan-17,30.33,30.41,30.03,30.15,22291322,CSCO
10-Jan-17,30.19,30.55,30.1,30.38,21046041,CSCO
9-Jan-17,30.22,30.33,30.08,30.18,17178503,CSCO
6-Jan-17,30.17,30.35,30.03,30.23,15923243,CSCO
5-Jan-17,30.1,30.36,30.07,30.17,18372532,CSCO
4-Jan-17,30.24,30.42,30.02,30.1,22280992,CSCO
3-Jan-17,30.37,30.56,30.21,30.54,22370578,CSCO
30-Dec-16,30.56,30.6,30.13,30.22,20190029,CSCO
29-Dec-16,30.37,30.55,30.33,30.46,10995584,CSCO
28-Dec-16,30.7,30.77,30.35,30.42,12022231,CSCO
27-Dec-16,30.64,30.82,30.6,30.68,14175488,CSCO
23-Dec-16,30.54,30.6,30.4,30.53,9167598,CSCO
22-Dec-16,30.4,30.48,30.25,30.46,12935767,CSCO
21-Dec-16,30.69,30.69,30.41,30.42,14488949,CSCO
20-Dec-16,30.83,30.87,30.46,30.56,17475171,CSCO
19-Dec-16,30.65,30.87,30.54,30.75,18178470,CSCO
16-Dec-16,30.7,30.72,30.27,30.59,45875473,CSCO
15-Dec-16,30.59,30.8,30.5,30.63,20914063,CSCO
14-Dec-16,30.6,31.06,30.41,30.46,27555980,CSCO
